,,,,,1976,,,,,,,,,1978,,,,,,,,,1980,,,,,,,,,1982,,,,,,,,,1984,,,,,,,,,1986,,,,,,,,,1988,,,,,,,,,1990,,,,,,,,,1992,,,,,,,,,1994,,,,,,,,,1996,,,,,,,,,1998,,,,,,,,,2000,,,,,,,,,2002,,,,,,,,,2003,,,,,,,,,2004,,,,,,,,,2005,,,,,,,,,2006,,,,,,,,,2007,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,Senate,,,House,,,Governor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Governor,
,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,Democrats,Republicans,Other,Democrats,Republicans,Other,Democrat,Replubican,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Democrat,Replubican,Other
Delaware,13,8,,25,16,,1,,,13,8,,26,15,,,1,,13,8,,21,20,,,1,,12,9,,16,25,,,1,,13,8,,24,17,,,1,,13,8,,19,22,,,1,,13,8,,19,22,,,1,,13,8,,18,23,,,1,,15,6,,17,24,,,1,,15,6,,18,23,,1,,,13,8,,14,27,,1,,,13,8,,13,28,,1,,,13,8,,15,26,,1,,,13,8,,15,26,,1,,,13,8,,12,29,,1,,,13,8,,12,29,,1,,,13,8,,15,25,1,1,,,13,8,,15,25,1,1,,,13,8,,18,23,,1,,,13,8,,19,22,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,27,12,,86,34,,1,,,30,9,,93,27,,1,,,29,11,,89,31,,1,,,27,13,,81,39,,1,,,32,8,,84,36,,1,,,32,8,,77,43,,1,,,25,15,,75,45,,,1,,23,17,,73,47,,,1,,22,18,,74,46,,1,,,20,20,,71,49,,1,,,18,22,,63,57,,1,,,17,23,,57,63,,1,,,15,24,,47,73,,,1,,15,25,,43,77,,,1,,14,25,,39,81,,,1,,14,26,,39,81,,,1,,14,26,,36,84,,,1,,14,26,,36,84,,,1,,14,26,,41,79,,,1,,14,26,,42,78,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,51,5,,155,24,,1,,,52,4,,156,24,,1,,,51,5,,159,21,,1,,,51,5,,156,23,,1,,,49,7,,156,24,,1,,,47,9,,154,26,,1,,,46,10,,153,27,,1,,,45,11,,144,36,,1,,,45,11,,145,35,,1,,,39,17,,128,52,,1,,,35,20,,114,66,,1,,,34,22,,102,78,,1,,,33,22,,102,78,,1,,,32,24,,105,74,1,1,,,26,30,,107,72,1,,1,,26,30,,107,72,1,,1,,22,34,,80,99,1,,1,,22,34,,80,99,1,,1,,22,34,,74,106,,,1,,22,34,,72,107,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,18,7,,35,16,,1,,,18,7,,41,10,,1,,,18,7,,42,9,,1,,,17,8,,39,12,,1,,,20,5,,43,8,,1,,,21,4,,40,11,,1,,,20,5,,4,10,1,1,,,22,3,,45,6,,1,,,22,3,,45,6,,1,,,22,3,,47,4,,1,,,23,2,,44,7,,1,,,23,2,,39,12,,1,,,23,2,,38,12,,1,,,22,3,,32,19,,1,,,20,5,,36,15,,,1,,20,5,,36,15,,,1,,20,5,,41,10,,,1,,20,5,,41,10,,,1,,20,5,,43,8,,,1,,21,4,,44,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,13,22,,27,43,,1,,,15,20,,22,48,,1,,,16,19,,20,50,,1,,,12,23,,14,56,,1,,,14,21,,19,51,,1,,,14,28,,17,67,,1,,,16,26,,20,64,,1,,,19,23,,20,64,,1,,,21,21,,28,56,,1,,,12,23,,20,50,,1,,,8,27,,13,57,,,1,,5,30,,11,59,,,1,,4,31,,12,58,,,1,,3,31,,9,61,,,1,,7,28,,16,54,,,1,,7,28,,16,54,,,1,,7,28,,13,57,,,1,,7,28,,13,57,,,1,,7,28,,19,51,,,1,,7,28,,19,51,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,34,25,,101,76,,1,,,34,25,,94,83,,,1,,32,27,,89,88,,,1,,30,29,,86,91,,,1,,33,26,,70,48,,,1,,31,28,,67,51,,,1,,31,28,,67,51,,,1,,31,28,,67,51,,,1,,31,28,,72,46,,,1,,27,32,,67,51,,,1,,26,33,,54,64,,,1,,28,31,,60,58,,,1,,27,32,,62,56,,,1,,27,32,,62,56,,,1,,26,32,1,66,52,,1,,,26,32,1,66,52,,1,,,31,27,1,65,53,,1,,,31,27,1,65,53,,1,,,37,22,,66,52,,1,,,37,22,,67,51,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,23,27,,56,44,,,1,,28,22,,48,52,,,1,,21,29,,46,54,,,1,,15,35,,35,63,,,1,,18,32,,43,57,,,1,,20,30,,39,61,,,1,,19,30,,48,52,,,1,,24,26,,50,50,,1,,,24,26,,52,48,,1,,,22,28,,55,45,,1,,,20,30,,45,55,,1,,,19,31,,50,50,,1,,,19,31,,53,47,,1,,,18,32,,52,46,,1,,,18,32,,51,49,,1,,,18,32,,51,49,,1,,,17,33,,48,52,,,1,,17,33,,48,52,,,1,,17,33,,51,49,,,1,,17,33,,51,49,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,26,24,,61,39,,,1,,26,24,,59,41,,,1,,22,28,,44,56,,,1,,22,28,,42,58,,,1,,28,22,,60,40,,,1,,29,21,,60,40,,,1,,30,20,,58,42,,,1,,30,20,,61,39,,,1,,29,21,,55,45,,,1,,27,23,,49,51,,,1,,27,23,,36,64,,,1,,22,28,,46,54,,,1,,20,30,,44,56,,1,,,20,30,,44,56,,1,,,21,29,,45,54,,1,,,21,29,,47,53,,1,,,25,25,,49,51,,1,,,25,25,,49,51,,1,,,30,20,,54,46,,1,,,30,20,,53,47,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,14,26,,53,72,,,1,,19,21,,65,60,,,1,,18,22,,56,69,,1,,,16,24,,53,72,,1,,,16,24,,53,72,,1,,,16,24,,49,76,,1,,,16,24,,51,74,,,1,,18,22,,58,67,,,1,,18,22,,63,62,,1,,,13,27,,59,66,,1,,,13,27,,44,81,,,1,,13,27,,48,77,,,1,,13,27,,48,77,,,1,,10,30,,46,79,,,1,,10,30,,45,80,,1,,,10,30,,45,80,,1,,,10,30,,42,83,,1,,,10,30,,42,83,,1,,,10,30,,47,78,,1,,,10,30,,47,78,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,30,8,,78,22,,1,,,29,9,,78,22,,1,,,29,9,,75,25,,1,,,29,9,,75,24,,1,,,28,10,,76,24,,1,,,28,10,,74,26,,1,,,29,9,,71,29,1,1,,,30,8,,72,28,,1,,,27,11,,68,32,,1,,,24,14,,71,29,,1,,,27,17,,61,37,,1,,,20,18,,64,36,,1,,,18,20,,64,35,,1,,,18,20,,66,34,,1,,,16,22,,65,35,,1,,,16,22,,63,36,,,1,,15,22,1,57,43,,,1,,15,22,1,57,43,,,1,,16,21,,61,39,,,1,,15,22,1,64,36,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
